Grupo_tendencia,Casos,Delta_promedio,Cambio_pct_promedio
Disminuye >10%,56,-870.6978517213337,-20.760756148612426
Estable +/-10%,50,-70.63104011296946,-2.1493913371373523
Aumenta >10%,10,463.1091081593928,22.49916681298706
