0,74991453
0,723660131
0,723462089
0,657281553
0,622169811
0,611065007
0,595220588
0,586122449
0,578947368
0,577864078
0,576796231
0,565377532
0,559398496
0,5575
0,549704142
0,547734628
0,543243243
0,541986755
0,533333333
0,532278481
0,531038251
0,520588235
0,516119403
0,515261044
0,513091922
0,508058608
0,501944444
0,501906158
0,499433198
0,496643991
0,48704918
0,482407407
0,477862595
0,477708333
0,473333333
0,466541353
0,463471074
0,459090909
0,450909091
0,443478261
0,440447761
0,43773913
0,436535433
0,436324786
0,434895833
0,433986928
0,43253012
0,43253012
0,430740741
0,428491228
0,426631579
0,424578652
0,421354167
0,417090909
0,417045455
0,415447154
0,403131991
0,402702703
0,401818182
0,400189573
0,4
0,398866213
0,397256347
0,394801223
0,394482759
0,394324324
0,393032787
0,390175439
0,388857939
0,388461538
0,387311828
0,385384615
0,37761194
0,37557047
0,375121951
0,372893773
0,371751412
0,369210526
0,369047619
0,368965517
0,367516447
0,365277778
0,363302752
0,3625
0,3625
0,3625
0,361805556
0,359487179
0,357426901
0,355789474
0,355664336
0,35245098
0,351832461
0,346489564
0,341985816
0,341216216
0,341160221
0,340869565
0,338043478
0,3375
0,335052317
0,333953488
0,332746823
0,327483871
0,323943662
0,31936
0,317365269
0,314611872
0,313508772
0,313388626
0,312481203
0,308993289
0,308571429
0,304888889
0,303759398
0,301904762
0,299763593
0,298602376
0,295228216
0,293650794
0,292880259
0,292631579
0,29140625
0,287238095
0,281481481
0,278895028
0,276388889
0,272800926
0,269047619
0,267901235
0,267041199
0,262580645
0,259064327
0,251818182
0,247453416
0,24491018
0,244878049
0,244563758
0,244470588
0,242051282
0,237176471
0,237
0,235714286
0,235273973
0,232790445
0,230882353
0,230714286
0,229419355
0,228368794
0,227988338
0,227950311
0,224427481
0,222580645
0,222051282
0,22172619
0,220631579
0,215132275
0,212488263
0,209668246
0,208888889
0,208747045
0,207272727
0,206553672
0,205094614
0,204680851
0,197183099
0,19625
0,195714286
0,194264151
0,191333333
0,186947368
0,185057471
0,179956897
0,17962963
0,179230769
0,17716895
0,176960784
0,176645963
0,175090909
0,16957265
0,168137255
0,165833333
0,165185185
0,16293578
0,162519201
0,155555556
0,154
0,153783784
0,14893617
0,148387097
0,14656
0,144623656
0,144113475
0,140495868
0,138861789
0,138484848
0,135693215
0,135329341
0,135185185
0,134942529
0,130898021
0,13
0,122256098
0,115027027
0,114962963
0,113684211
0,113071895
0,108571429
0,106262626
0,10623053
0,105925926
0,101515152
0,092222222
0,092222222
0,086075949
0,08436019
0,084313725
0,07830303
0,076096491
0,075862069
0,075384615
0,074226804
0,07311828
0,071498258
0,065084746
0,061170213
0,060067682
0,056585366
0,054347826
0,053932584
0,053793103
0,052046784
0,048965517
0,048888889
0,046062759
0,045991903
0,045386064
0,045345345
0,044927536
0,044639866
0,044210526
0,042728443
0,042047026
0,041869919
0,041400304
0,041105354
0,040873016
0,040740741
0,040639269
0,040298507
0,037619048
0,037467018
0,032840722
0,02952381
0,029411765
0,029230769
0,029052632
0,028519856
0,02811245
0,027696078
0,027352941
0,027162791
0,025470085
0,025157233
0,024767802
0,024358974
0,023333333
0,021670702
0,021322314
0,021241379
0,02
0,019732097
0,01740413
0,016243655
0,016205788
0,015670103
0,015555556
0,01468254
0,012565445
0,011111111
0,010130719
0,007591241
0,007246377
0,006760563
0,005647383
0,004324324
0,003252033
0,00255102
0,002077151
0,001294498
-0,000288809
-0,001891253
-0,003308271
-0,00392638
-0,009045226
-0,010497738
-0,010851648
-0,011180124
-0,011794872
-0,012698413
-0,013217391
-0,013755656
-0,014465409
-0,014626866
-0,018300654
-0,019135802
-0,019856115
-0,020913462
-0,023163842
-0,025988701
-0,026031746
-0,026890756
-0,027604167
-0,028178694
-0,028316327
-0,029047619
-0,030268199
-0,032307692
-0,032592593
-0,034408602
-0,036792453
-0,041911765
-0,043417367
-0,04375
-0,04951049
-0,050750751
-0,05106383
-0,052845528
-0,055652174
-0,060199005
-0,060588235
-0,061815336
-0,061927711
-0,062254902
-0,063703704
-0,066393443
-0,066666667
-0,069398907
-0,07027027
-0,0703125
-0,077083333
-0,077777778
-0,078709677
-0,079262673
-0,081140351
-0,081666667
-0,086031746
-0,086896552
-0,094222222
-0,098571429
-0,102380952
-0,11025641
-0,111325301
-0,114285714
-0,12
-0,129577465
-0,132075472
-0,133913043
-0,13649789
-0,138
-0,140160643
-0,147111111
-0,147701149
-0,148571429
-0,149166667
-0,152235294
-0,154375
-0,156907216
-0,157407407
-0,16
-0,160854701
-0,161016949
-0,165555556
-0,177327327
-0,179912664
-0,184347826
-0,185185185
-0,191891892
-0,195238095
-0,196631206
-0,201041667
-0,202681992
-0,207142857
-0,208955224
-0,219230769
-0,221296296
-0,248148148
-0,252028219
-0,254347826
-0,257323232
-0,257575758
-0,268478261
-0,270250896
-0,28513369
-0,288148148
-0,295967742
-0,323387097
-0,342105263
-0,351111111
-0,36
-0,382222222
-0,401851852
-0,462941176
-0,471428571
-0,477647059
-0,493421053
-0,498039216
-0,5632
-0,617624521
-0,793684211
-0,799319728
-0,803636364
-0,81907131
-2,281538462
-2,934285714
-3,342352941
